,date,industrial,merch,retail
0,2014-01,3.5,4.3,-4.5
1,2014-02,13.1,7.5,-1.7
2,2014-03,12.2,10.8,0.9
3,2014-04,5.3,1.4,-6.9
4,2014-05,-1.9,-2.4,-6.8
5,2014-06,0.7,-1.0,-1.3
6,2014-07,2.6,-6.2,2.0
7,2014-08,3.8,-4.8,3.2
8,2014-09,-1.2,-1.1,1.9
9,2014-10,0.3,-7.1,6.8
10,2014-11,-1.9,-5.6,5.7
11,2014-12,-1.8,-0.8,3.8
12,2015-01,2.1,-9.5,7.3
13,2015-02,-3.3,-17.7,1.4
14,2015-03,-10.4,-4.4,2.9
15,2015-04,-8.7,-11.1,6.1
16,2015-05,-1.2,-14.7,5.3
17,2015-06,-2.7,-4.7,7.0
18,2015-07,-6.1,-4.9,5.7
19,2015-08,-4.7,-8.1,7.1
20,2015-09,-6.3,-11.6,3.3
21,2015-10,-3.3,-7.8,2.7
22,2015-11,-2.8,-6.0,4.6
23,2015-12,-11.9,-6.3,4.6
24,2016-01,1.2,-14.3,0.5
25,2016-02,-3.4,-1.8,2.9
26,2016-03,0.7,-14.9,2.7
27,2016-04,3.3,-10.2,1.6
28,2016-05,0.4,-1.6,2.5
29,2016-06,1.1,-5.9,0.3
30,2016-07,-3.3,-12.8,3.5
31,2016-08,1.0,-2.2,-1.7
32,2016-09,7.9,-4.5,1.1
33,2016-10,1.2,-7.4,1.4
34,2016-11,11.7,9.1,-0.1
35,2016-12,22.4,11.0,-0.4
36,2017-01,4.0,15.5,0.4
37,2017-02,10.1,14.3,1.7
38,2017-03,11.2,18.7,2.2
39,2017-04,6.7,5.6,0.8
40,2017-05,5.0,15.7,0.2
41,2017-06,13.8,7.3,0.9
42,2017-07,23.3,13.5,1.4
43,2017-08,20.5,15.3,2.3
44,2017-09,14.6,6.2,-1.5
45,2017-10,15.3,12.9,-0.6
46,2017-11,6.1,10.1,3.4
47,2017-12,-2.4,1.1,5.4
48,2018-01,18.3,7.1,0.3
49,2018-02,5.2,1.6,-3.1
50,2018-03,6.7,-0.8,-1.1
51,2018-04,10.9,10.5,0.8
52,2018-05,13.0,9.8,-0.2
53,2018-06,8.2,10.2,0.4
54,2018-07,6.7,17.3,-3.1
55,2018-08,3.3,13.3,-1.7
56,2018-09,0.5,13.5,2.1
57,2018-10,5.2,18.9,0.3
58,2018-11,6.8,7.4,-1.6
59,2018-12,1.8,1.6,-6.0
60,2019-01,1.2,4.2,-1.1
61,2019-02,2.9,3.3,-0.5
62,2019-03,-4.5,-0.9,-1.0
63,2019-04,-0.1,3.2,-1.6
64,2019-05,-2.0,-2.2,-3.8
65,2019-06,-6.9,-7.3,-7.4
